,ItemID,ItemName,CurrentValue,LastUpdated,LowValue,LowSeenDate,HighValue,HighSeenDate,Override,Taxed,Bottleneck,Mat1Qty,Mat1,Mat2Qty,Mat2,Mat3Qty,Mat3,Mat4Qty,Mat4,Mat5Qty,Mat5,Mat6Qty,Mat6,ProductionMultiplier,CritChance,CritProduct,Experience,ProductionTime,Source,MatGroup,Tag,Description
28,620,[Party] Surging Energy Elixir,28691,2018/05/13,28691,,28691,,,Yes,No,2,Surging Energy Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
29,621,[Party] Elixir of Wings,24359,2018/05/13,24359,,24359,,,Yes,No,2,Elixir of Wings,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
30,622,[Party] Soaring Wings Elixir,36587,2018/05/13,36587,,36587,,,Yes,No,2,Soaring Wings Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
31,623,[Party] Elixir of Death,77405,2018/05/13,77405,,77405,,,Yes,No,2,Elixir of Death,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
32,624,[Party] Brutal Death Elixir,116111,2018/05/13,116111,,116111,,,Yes,No,2,Brutal Death Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
33,625,[Party] Elixir of Wind,40277,2018/05/13,40277,,40277,,,Yes,No,2,Elixir of Wind,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
34,626,[Party] Elixir of Flowing Wind,60410,2018/05/13,60410,,60410,,,Yes,No,2,Elixir of Flowing Wind,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
35,627,[Party] Elixir of Swiftness,37974,2018/05/13,37974,,37974,,,Yes,No,2,Elixir of Swiftness,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
36,628,[Party] Elixir of Intrepid Swiftness,62687,2018/05/13,62687,,62687,,,Yes,No,2,Elixir of Intrepid Swiftness,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
37,629,[Party] Elixir of Spells,31119,2018/05/13,31119,,31119,,,Yes,No,2,Elixir of Spells,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
38,630,[Party] Elixir of Agile Spells,57077,2018/05/13,57077,,57077,,,Yes,No,2,Elixir of Agile Spells,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
39,631,[Party] Elixir of Seal,24575,2018/05/13,24575,,24575,,,Yes,No,2,Elixir of Seal,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
40,632,[Party] Agile Seal Elixir,36839,2018/05/13,36839,,36839,,,Yes,No,2,Agile Seal Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
41,633,[Party] Elixir of Assassination,88409,2018/05/13,88409,,88409,,,Yes,No,2,Elixir of Assassination,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
42,634,[Party] Elixir of Lethal Assassination,132635,2018/05/13,132635,,132635,,,Yes,No,2,Elixir of Lethal Assassination,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
43,635,[Party] Elixir of Detection,90803,2018/05/13,90803,,90803,,,Yes,No,2,Elixir of Detection,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
44,636,[Party] Elixir of Sharp Detection,136205,2018/05/13,136205,,136205,,,Yes,No,2,Elixir of Sharp Detection,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
45,637,[Party] Elixir of Concentration,15923,2018/05/13,15923,,15923,,,Yes,No,2,Elixir of Concentration,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
46,638,[Party] Elixir of Advanced Concentration,23903,2018/05/13,23903,,23903,,,Yes,No,2,Elixir of Advanced Concentration,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
47,639,[Party] Elixir of Will,24948,2018/05/13,24948,,24948,,,Yes,No,2,Elixir of Will,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
48,640,[Party] Elixir of Remarkable Will,37427,2018/05/13,37427,,37427,,,Yes,No,2,Elixir of Remarkable Will,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
49,641,[Party] Elixir of Fury,20750,2018/05/13,20750,,20750,,,Yes,No,2,Elixir of Fury,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
50,642,[Party] Elixir of Endless Fury,33347,2018/05/13,33347,,33347,,,Yes,No,2,Elixir of Endless Fury,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
51,643,[Party] Elixir of Resistance,26339,2018/05/13,26339,,26339,,,Yes,No,2,Elixir of Resistance,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
52,644,[Party] Elixir of Sharp Resistance,39479,2018/05/13,39479,,39479,,,Yes,No,2,Elixir of Sharp Resistance,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
53,645,[Party] Elixir of Life,16211,2018/05/13,16211,,16211,,,Yes,No,2,Elixir of Life,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
54,646,[Party] Elixir of Strong Life,24323,2018/05/13,24323,,24323,,,Yes,No,2,Elixir of Strong Life,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
55,647,[Party] Elixir of Mentality,18731,2018/05/13,18731,,18731,,,Yes,No,2,Elixir of Mentality,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
56,648,[Party] Elixir of Clear Mentality,28103,2018/05/13,28103,,28103,,,Yes,No,2,Elixir of Clear Mentality,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
57,649,[Party] Grim Reaper's Elixir,91517,2018/05/13,91517,,91517,,,Yes,No,2,Grim Reaper's Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
58,650,[Party] Grim Soul Reaper's Elixir,137280,2018/05/13,137280,,137280,,,Yes,No,2,Grim Soul Reaper's Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
59,651,[Party] EXP Elixir,36332,2018/05/13,36332,,36332,,,Yes,No,2,EXP Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
60,652,[Party] Splendid EXP Elixir,62975,2018/05/13,62975,,62975,,,Yes,No,2,Splendid EXP Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
61,653,[Party] Defense Elixir,28165,2018/05/13,28165,,28165,,,Yes,No,2,Defense Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
62,654,[Party] Elixir of Steel Defense,46955,2018/05/13,46955,,46955,,,Yes,No,2,Elixir of Steel Defense,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
63,655,[Party] Elixir of Carnage,93221,2018/05/13,93221,,93221,,,Yes,No,2,Elixir of Carnage,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
64,656,[Party] Elixir of Brutal Carnage,139841,2018/05/13,139841,,139841,,,Yes,No,2,Elixir of Brutal Carnage,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
65,657,[Party] Elixir of Sky,99413,2018/05/13,99413,,99413,,,Yes,No,2,Elixir of Sky,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
66,658,[Party] Merciless Sky Elixir,149123,2018/05/13,149123,,149123,,,Yes,No,2,Merciless Sky Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
67,659,[Party] Elixir of Endurance,26004,2018/05/13,26004,,26004,,,Yes,No,2,Elixir of Endurance,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
68,660,[Party] Elixir of Overwhelming Endurance,39023,2018/05/13,39023,,39023,,,Yes,No,2,Elixir of Overwhelming Endurance,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
69,661,[Party] Worker's Elixir,40194,2018/05/13,40194,,40194,,,Yes,No,2,Worker's Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
70,662,[Party] Skilled Worker's Elixir,57279,2018/05/13,57279,,57279,,,Yes,No,2,Skilled Worker's Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
71,663,[Party] Fisher's Elixir,37127,2018/05/13,37127,,37127,,,Yes,No,2,Fisher's Elixir,1,Aal's Tear,,,,,,,,,1.8,,,,6,Processing - Simple Alchemy,,,
72,664,Elixir of Amity,13789,2018/05/13,13789,,13789,,,Yes,No,1,Legendary Beast's Blood,5,Fire Flake Flower,6,Ash Sap,3,Black Stone Powder,,,,,2.5,0.3,Improved Elixir of Amity,,Alchemy,Alchemy,,,
73,665,Improved Elixir of Amity,62784,2018/05/13,62784,,62784,,,Yes,No,3,Elixir of Amity,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
74,668,Resurrection Elixir,994,2018/05/13,994,,994,,,Yes,No,1,Clear Liquid Reagent,3,Sunrise Herb,3,Purified Water,2,HP Potion (Small),,,,,2.5,0.3,Strong Resurrection Elixir,,Alchemy,Alchemy,,,
75,669,Strong Resurrection Elixir,20447,2018/05/13,20447,,20447,,,Yes,No,3,Resurrection Elixir,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
76,670,Elixir of Human Hunt,5503,2018/05/13,5503,,5503,,,Yes,No,1,Clown's Blood,4,Fortune Teller Mushroom,4,Maple Sap,3,Black Stone Powder,,,,,2.5,0.3,Elixir of Perfect Human Hunt,,Alchemy,Alchemy,,,
77,671,Elixir of Perfect Human Hunt,59808,2018/05/13,59808,,59808,,,Yes,No,3,Elixir of Human Hunt,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
78,672,Elixir of Frenzy,71552,2018/05/13,71552,,71552,,,Yes,No,1,Oil of Regeneration,5,Clear Liquid Reagent,5,Cedar Sap,3,Trace of Battle,2,Ghost Mushroom,,,2.5,0.3,Elixir of Endless Frenzy,,Alchemy,Alchemy,,,
79,673,Elixir of Endless Frenzy,117861,2018/05/13,117861,,117861,,,Yes,No,3,Elixir of Frenzy,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
80,674,Golden Hand Elixir,25000,2018/05/13,25000,,25000,,,Yes,No,1,Oil of Storms,4,Clear Liquid Reagent,4,Fog Mushroom,3,Trace of Hunting,6,Fir Sap,,,2.5,0.3,Glorious Golden Hand Elixir,,Alchemy,Alchemy,,,
81,675,Glorious Golden Hand Elixir,33203,2018/05/13,33203,,33203,,,Yes,No,3,Golden Hand Elixir,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
82,676,Elixir of Draining,107555,2018/05/13,107555,,107555,,,Yes,No,1,Oil of Fortitude,4,Clear Liquid Reagent,3,Hump Mushroom,4,Birch Sap,2,Trace of Forest,,,2.5,0.3,Elixir of Strong Draining,,Alchemy,Alchemy,,,
83,677,Elixir of Strong Draining,188111,2018/05/13,188111,,188111,,,Yes,No,3,Elixir of Draining,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
84,678,Elixir of Demihuman Hunt,11200,2018/05/13,11200,,11200,,,Yes,No,1,Sinner's Blood,4,Arrow Mushroom,4,Fir Sap,3,Black Stone Powder,,,,,2.5,0.3,Fierce Demihuman Hunting Elixir,,Alchemy,Alchemy,,,
85,679,Fierce Demihuman Hunting Elixir,34800,2018/05/13,34800,,34800,,,Yes,No,3,Elixir of Demihuman Hunt,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
86,680,Elixir of Penetration,68273,2018/05/13,68273,,68273,,,Yes,No,1,Oil of Corruption,4,Clear Liquid Reagent,5,Bluffer Mushroom,5,Pine Sap,2,Trace of Violence,,,2.5,0.3,Elixir of Brutal Penetration,,Alchemy,Alchemy,,,
87,681,Elixir of Brutal Penetration,117047,2018/05/13,117047,,117047,,,Yes,No,3,Elixir of Penetration,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
88,682,Elixir of Energy,6771,2018/05/13,6771,,6771,,,Yes,No,1,Pure Powder Reagent,4,Blood 3,3,Purified Water,2,MP Potion (Small),,,,,2.5,0.3,Surging Energy Elixir,,Alchemy,Alchemy,,,
89,683,Surging Energy Elixir,3000,2018/05/13,3000,,3000,,,Yes,No,3,Elixir of Energy,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
90,684,Elixir of Wings,22176,2018/05/13,22176,,22176,,,Yes,No,2,Silver Azalea,1,Ash Sap,4,Blood 4,5,Purified Water,,,,,2.5,0.3,Soaring Wings Elixir,,Alchemy,Alchemy,,,
91,685,Soaring Wings Elixir,3168,2018/05/13,3168,,3168,,,Yes,No,3,Elixir of Wings,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
92,686,Elixir of Death,70374,2018/05/13,70374,,70374,,,Yes,No,1,Oil of Tranquility,6,Clear Liquid Reagent,2,Ancient Mushroom,7,Ash Sap,2,Trace of Death,,,2.5,0.3,Brutal Death Elixir,,Alchemy,Alchemy,,,
93,687,Brutal Death Elixir,200000,2018/05/13,200000,,200000,,,Yes,No,3,Elixir of Death,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
94,688,Elixir of Wind,19456,2018/05/13,19456,,19456,,,Yes,No,1,Wise Man's Blood,5,Fortune Teller Mushroom,5,Pine Sap,2,Powder of Darkness,,,,,2.5,0.3,Elixir of Flowing Wind,,Alchemy,Alchemy,,,
95,689,Elixir of Flowing Wind,24478,2018/05/13,24478,,24478,,,Yes,No,3,Elixir of Wind,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
96,690,Elixir of Swiftness,8998,2018/05/13,8998,,8998,,,Yes,No,1,Legendary Beast's Blood,5,Arrow Mushroom,5,Birch Sap,2,Powder of Darkness,,,,,2.5,0.3,Elixir of Intrepid Swiftness,,Alchemy,Alchemy,,,
97,691,Elixir of Intrepid Swiftness,32000,2018/05/13,32000,,32000,,,Yes,No,3,Elixir of Swiftness,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
98,692,Elixir of Spells,5461,2018/05/13,5461,,5461,,,Yes,No,1,Tyrant's Blood,5,Fire Flake Flower,3,Maple Sap,2,Powder of Darkness,,,,,2.5,0.3,Elixir of Agile Spells,,Alchemy,Alchemy,,,
99,693,Elixir of Agile Spells,35640,2018/05/13,35640,,35640,,,Yes,No,3,Elixir of Spells,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
100,694,Elixir of Seal,12128,2018/05/13,12128,,12128,,,Yes,No,3,Dwarf Mushroom,1,Birch Sap,4,Blood 1,5,Purified Water,,,,,2.5,0.3,Agile Seal Elixir,,Alchemy,Alchemy,,,
101,695,Agile Seal Elixir,3192,2018/05/13,3192,,3192,,,Yes,No,3,Elixir of Seal,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
102,696,Elixir of Assassination,80388,2018/05/13,80388,,80388,,,Yes,No,1,Oil of Regeneration,5,Pure Powder Reagent,4,Amanita Mushroom,2,Red Tree Lump,2,Trace of Memory,,,2.5,0.3,Elixir of Lethal Assassination,,Alchemy,Alchemy,,,
103,697,Elixir of Lethal Assassination,125280,2018/05/13,125280,,125280,,,Yes,No,3,Elixir of Assassination,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
104,698,Elixir of Detection,82553,2018/05/13,82553,,82553,,,Yes,No,1,Oil of Storms,6,Pure Powder Reagent,3,Truffle Mushroom,2,Old Tree Bark,3,Trace of Savagery,,,2.5,0.3,Elixir of Sharp Detection,,Alchemy,Alchemy,,,
105,699,Elixir of Sharp Detection,141528,2018/05/13,141528,,141528,,,Yes,No,3,Elixir of Detection,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
106,700,Elixir of Concentration,14000,2018/05/13,14000,,14000,,,Yes,No,1,Clear Liquid Reagent,3,Cloud Mushroom,2,Wild Grass,3,Blood 4,,,,,2.5,0.3,Elixir of Advanced Concentration,,Alchemy,Alchemy,,,
107,701,Elixir of Advanced Concentration,22603,2018/05/13,22603,,22603,,,Yes,No,3,Elixir of Concentration,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
108,702,Elixir of Will,20999,2018/05/13,20999,,20999,,,Yes,No,1,Pure Powder Reagent,4,Sunrise Herb,6,Blood 1,3,Purified Water,,,,,2.5,0.3,Elixir of Remarkable Will,,Alchemy,Alchemy,,,
109,703,Elixir of Remarkable Will,38880,2018/05/13,38880,,38880,,,Yes,No,3,Elixir of Will,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
110,704,Elixir of Fury,14600,2018/05/13,14600,,14600,,,Yes,No,4,Dwarf Mushroom,1,Ash Sap,4,Blood 4,3,Purified Water,,,,,2.5,0.3,Elixir of Endless Fury,,Alchemy,Alchemy,,,
111,705,Elixir of Endless Fury,34656,2018/05/13,34656,,34656,,,Yes,No,3,Elixir of Fury,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
112,706,Elixir of Resistance,3744,2018/05/13,3744,,3744,,,Yes,No,3,Cloud Mushroom,1,Birch Sap,7,Blood 1,3,Purified Water,,,,,2.5,0.3,Elixir of Sharp Resistance,,Alchemy,Alchemy,,,
113,707,Elixir of Sharp Resistance,41039,2018/05/13,41039,,41039,,,Yes,No,3,Elixir of Resistance,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
114,708,Elixir of Life,14748,2018/05/13,14748,,14748,,,Yes,No,1,Pure Powder Reagent,3,Silver Azalea,5,Blood 3,3,HP Potion (Small),,,,,2.5,0.3,Elixir of Strong Life,,Alchemy,Alchemy,,,
115,709,Elixir of Strong Life,25296,2018/05/13,25296,,25296,,,Yes,No,3,Elixir of Life,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
116,710,Elixir of Mentality,9401,2018/05/13,9401,,9401,,,Yes,No,1,Clear Liquid Reagent,4,Ash Sap,3,Purified Water,3,MP Potion (Small),,,,,2.5,0.3,Elixir of Clear Mentality,,Alchemy,Alchemy,,,
117,711,Elixir of Clear Mentality,2436,2018/05/13,2436,,2436,,,Yes,No,3,Elixir of Mentality,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
118,712,Grim Reaper's Elixir,83202,2018/05/13,83202,,83202,,,Yes,No,1,Oil of Fortitude,4,Pure Powder Reagent,2,Sky Mushroom,2,Monk's Branch,4,Trace of Origin,,,2.5,0.3,Grim Soul Reaper's Elixir,,Alchemy,Alchemy,,,
119,713,Grim Soul Reaper's Elixir,142632,2018/05/13,142632,,142632,,,Yes,No,3,Grim Reaper's Elixir,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
120,714,EXP Elixir,10800,2018/05/13,10800,,10800,,,Yes,No,1,Clown's Blood,7,Dry Mane Grass,5,Pine Sap,2,Powder of Flame,,,,,2.5,0.3,Splendid EXP Elixir,,Alchemy,Alchemy,,,
121,715,Splendid EXP Elixir,62976,2018/05/13,62976,,62976,,,Yes,No,3,EXP Elixir,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
122,716,Defense Elixir,15507,2018/05/13,15507,,15507,,,Yes,No,1,Clear Liquid Reagent,6,Ash Sap,5,Blood 2,3,Purified Water,,,,,2.5,0.3,Elixir of Steel Defense,,Alchemy,Alchemy,,,
123,717,Elixir of Steel Defense,44378,2018/05/13,44378,,44378,,,Yes,No,3,Defense Elixir,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
124,718,Elixir of Carnage,84755,2018/05/13,84755,,84755,,,Yes,No,1,Oil of Corruption,7,Pure Powder Reagent,2,Tiger Mushroom,2,Spirit's Leaf,3,Trace of the Earth,,,2.5,0.3,Elixir of Brutal Carnage,,Alchemy,Alchemy,,,
125,719,Elixir of Brutal Carnage,145296,2018/05/13,145296,,145296,,,Yes,No,3,Elixir of Carnage,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
126,720,Elixir of Sky,90384,2018/05/13,90384,,90384,,,Yes,No,1,Oil of Tranquility,6,Pure Powder Reagent,1,Emperor Mushroom,2,Bloody Tree Knot,4,Trace of Ascension,,,2.5,0.3,Merciless Sky Elixir,,Alchemy,Alchemy,,,
127,721,Merciless Sky Elixir,140858,2018/05/13,140858,,140858,,,Yes,No,3,Elixir of Sky,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
128,722,Elixir of Endurance,11863,2018/05/13,11863,,11863,,,Yes,No,1,Pure Powder Reagent,2,Dwarf Mushroom,5,Birch Sap,4,Bear Blood,,,,,2.5,0.3,Elixir of Overwhelming Endurance,,Alchemy,Alchemy,,,
129,723,Elixir of Overwhelming Endurance,36872,2018/05/13,36872,,36872,,,Yes,No,3,Elixir of Endurance,1,Blue Reagent,,,,,,,,,1,,,,6,Processing - Simple Alchemy,,,
130,724,Worker's Elixir,9100,2018/05/13,9100,,9100,,,Yes,No,1,Sinner's Blood,6,Silver Azalea,4,Ash Sap,2,Powder of Flame,,,,,2.5,0.3,Skilled Worker's Elixir,,Alchemy,Alchemy,,,
